TimeStamp: 1722319231(2024-07-30 14:00:31), LockStatus: 0x786435, Longitude: 114.044840, Latitude: 22.613538, Speed: 18.92m/s, Heading: 0
TimeStamp: 1722319232(2024-07-30 14:00:32), LockStatus: 0x786435, Longitude: 114.044827, Latitude: 22.613872, Speed: 17.92m/s, Heading: 0
TimeStamp: 1722319233(2024-07-30 14:00:33), LockStatus: 0x786435, Longitude: 114.044823, Latitude: 22.614030, Speed: 17.36m/s, Heading: 0
TimeStamp: 1722319234(2024-07-30 14:00:34), LockStatus: 0x786435, Longitude: 114.044818, Latitude: 22.614185, Speed: 16.89m/s, Heading: 0
TimeStamp: 1722319235(2024-07-30 14:00:35), LockStatus: 0x786435, Longitude: 114.044810, Latitude: 22.614335, Speed: 16.39m/s, Heading: 0
TimeStamp: 1722319236(2024-07-30 14:00:36), LockStatus: 0x786435, Longitude: 114.044802, Latitude: 22.614482, Speed: 16.14m/s, Heading: 0
TimeStamp: 1722319237(2024-07-30 14:00:37), LockStatus: 0x786435, Longitude: 114.044793, Latitude: 22.614627, Speed: 15.78m/s, Heading: 0
TimeStamp: 1722319238(2024-07-30 14:00:38), LockStatus: 0x786435, Longitude: 114.044787, Latitude: 22.614765, Speed: 15.11m/s, Heading: 0
TimeStamp: 1722319239(2024-07-30 14:00:39), LockStatus: 0x786435, Longitude: 114.044778, Latitude: 22.614900, Speed: 14.67m/s, Heading: 0
TimeStamp: 1722319240(2024-07-30 14:00:40), LockStatus: 0x786435, Longitude: 114.044770, Latitude: 22.615033, Speed: 14.75m/s, Heading: 0
TimeStamp: 1722319241(2024-07-30 14:00:41), LockStatus: 0x786435, Longitude: 114.044758, Latitude: 22.615165, Speed: 14.44m/s, Heading: 0
TimeStamp: 1722319242(2024-07-30 14:00:42), LockStatus: 0x786435, Longitude: 114.044748, Latitude: 22.615292, Speed: 13.81m/s, Heading: 0
TimeStamp: 1722319243(2024-07-30 14:00:43), LockStatus: 0x786435, Longitude: 114.044737, Latitude: 22.615413, Speed: 13.11m/s, Heading: 0
TimeStamp: 1722319244(2024-07-30 14:00:44), LockStatus: 0x786435, Longitude: 114.044727, Latitude: 22.615530, Speed: 12.81m/s, Heading: 0
TimeStamp: 1722319245(2024-07-30 14:00:45), LockStatus: 0x786435, Longitude: 114.044717, Latitude: 22.615647, Speed: 13.00m/s, Heading: 0
TimeStamp: 1722319246(2024-07-30 14:00:46), LockStatus: 0x786435, Longitude: 114.044703, Latitude: 22.615763, Speed: 13.06m/s, Heading: 0
TimeStamp: 1722319247(2024-07-30 14:00:47), LockStatus: 0x786435, Longitude: 114.044692, Latitude: 22.615882, Speed: 13.08m/s, Heading: 0
TimeStamp: 1722319248(2024-07-30 14:00:48), LockStatus: 0x786435, Longitude: 114.044680, Latitude: 22.616000, Speed: 13.22m/s, Heading: 0
TimeStamp: 1722319249(2024-07-30 14:00:49), LockStatus: 0x786435, Longitude: 114.044668, Latitude: 22.616120, Speed: 13.44m/s, Heading: 0
TimeStamp: 1722319250(2024-07-30 14:00:50), LockStatus: 0x786435, Longitude: 114.044655, Latitude: 22.616243, Speed: 13.64m/s, Heading: 0
TimeStamp: 1722319251(2024-07-30 14:00:51), LockStatus: 0x786435, Longitude: 114.044642, Latitude: 22.616367, Speed: 13.92m/s, Heading: 0
TimeStamp: 1722319252(2024-07-30 14:00:52), LockStatus: 0x786435, Longitude: 114.044628, Latitude: 22.616493, Speed: 14.17m/s, Heading: 0
TimeStamp: 1722319253(2024-07-30 14:00:53), LockStatus: 0x786435, Longitude: 114.044613, Latitude: 22.616622, Speed: 14.50m/s, Heading: 0
TimeStamp: 1722319254(2024-07-30 14:00:54), LockStatus: 0x786435, Longitude: 114.044597, Latitude: 22.616753, Speed: 14.78m/s, Heading: 0
TimeStamp: 1722319255(2024-07-30 14:00:55), LockStatus: 0x786435, Longitude: 114.044580, Latitude: 22.616888, Speed: 15.08m/s, Heading: 0
TimeStamp: 1722319256(2024-07-30 14:00:56), LockStatus: 0x786435, Longitude: 114.044562, Latitude: 22.617025, Speed: 15.39m/s, Heading: 0
TimeStamp: 1722319257(2024-07-30 14:00:57), LockStatus: 0x786435, Longitude: 114.044543, Latitude: 22.617163, Speed: 15.67m/s, Heading: 0
TimeStamp: 1722319258(2024-07-30 14:00:58), LockStatus: 0x786435, Longitude: 114.044525, Latitude: 22.617305, Speed: 15.97m/s, Heading: 0
TimeStamp: 1722319259(2024-07-30 14:00:59), LockStatus: 0x786435, Longitude: 114.044503, Latitude: 22.617450, Speed: 16.25m/s, Heading: 0
TimeStamp: 1722319260(2024-07-30 14:01:00), LockStatus: 0x786435, Longitude: 114.044482, Latitude: 22.617597, Speed: 16.50m/s, Heading: 0
TimeStamp: 1722319261(2024-07-30 14:01:01), LockStatus: 0x786435, Longitude: 114.044460, Latitude: 22.617745, Speed: 16.81m/s, Heading: 0
TimeStamp: 1722319262(2024-07-30 14:01:02), LockStatus: 0x786435, Longitude: 114.044460, Latitude: 22.617745, Speed: 16.81m/s, Heading: 0
